data,tipo_operacao,contraparte_cnpj,contraparte_nome,cfop,descricao,conta
2026-01-09,entrada,12345678000190,PAPELARIA ACME LTDA,1556,Resma de papel A4,4.1.1.01.001
2026-01-22,entrada,12345678000190,PAPELARIA ACME LTDA,1556,Canetas e grampeador,4.1.1.01.001
2026-02-11,entrada,12345678000190,PAPELARIA ACME LTDA,1556,Cartuchos de tinta,4.1.1.01.001
2026-03-05,entrada,12345678000190,PAPELARIA ACME LTDA,1556,Material de escritorio diverso,4.1.1.01.001
2026-01-15,entrada,99887766000155,DISTRIBUIDORA GAMA SA,1102,Mercadorias para revenda,1.1.3.01.001
2026-02-03,entrada,99887766000155,DISTRIBUIDORA GAMA SA,1102,Lote de produtos para revenda,1.1.3.01.001
2026-02-27,entrada,99887766000155,DISTRIBUIDORA GAMA SA,1102,Mercadorias para revenda,1.1.3.01.001
2026-03-19,entrada,99887766000155,DISTRIBUIDORA GAMA SA,1102,Reposicao de estoque,1.1.3.01.001
2026-01-31,entrada,55667788000133,COMPANHIA DE ENERGIA,1252,Energia eletrica janeiro,4.1.3.01.001
2026-02-28,entrada,55667788000133,COMPANHIA DE ENERGIA,1252,Energia eletrica fevereiro,4.1.3.01.001
2026-01-20,entrada,77788899000111,OUTRA SOFTHOUSE LTDA,1933,Licenca de software anual,4.1.2.01.001
2026-02-18,entrada,77788899000111,OUTRA SOFTHOUSE LTDA,1933,Assinatura de sistema SaaS,4.1.2.01.001
2026-01-12,saida,21000111000122,CLIENTE ALFA LTDA,5102,Venda de mercadorias,3.1.1.01.001
2026-01-28,saida,32000222000133,CLIENTE BRAVO ME,5102,Venda de mercadorias,3.1.1.01.001
2026-02-14,saida,43000333000144,CLIENTE CHARLIE SA,5102,Venda de mercadorias,3.1.1.01.001
2026-03-08,saida,54000444000155,CLIENTE DELTA EIRELI,5102,Venda de mercadorias,3.1.1.01.001
